seq_no,packet_type,origin_uid,dst_addr,final_uid,created_time,delivered_time,delay,hop_count,path
3038,DATA,24,"[1,254]",18,108.165323,108.165721,0.000399,5,24->34->35->26->17->18
3039,DATA,73,"[1,254]",18,108.221427,108.222094,0.000667,8,73->63->54->43->34->35->26->17->18
3040,DATA,92,"[1,254]",18,108.238601,108.239561,0.000961,11,92->93->83->73->63->54->43->34->35->26->17->18
3041,DATA,93,"[1,254]",18,108.270924,108.271771,0.000847,10,93->83->73->63->54->43->34->35->26->17->18
3042,DATA,22,"[1,254]",18,108.290601,108.291097,0.000495,6,22->33->34->35->26->17->18
3043,DATA,32,"[1,254]",18,108.306308,108.306914,0.000606,7,32->22->33->34->35->26->17->18
3044,DATA,30,"[1,254]",18,108.312515,108.313353,0.000839,10,30->20->10->11->22->33->34->35->26->17->18
3045,DATA,51,"[1,254]",18,108.329976,108.330729,0.000753,9,51->41->32->22->33->34->35->26->17->18
3046,DATA,33,"[1,254]",18,108.338485,108.338877,0.000392,5,33->34->35->26->17->18
3047,DATA,1,"[1,254]",18,108.375077,108.375845,0.000768,9,1->10->11->22->33->34->35->26->17->18
3048,DATA,10,"[1,254]",18,108.402426,108.403111,0.000685,8,10->11->22->33->34->35->26->17->18
3049,DATA,73,"[1,254]",18,108.422203,108.422870,0.000667,8,73->63->54->43->34->35->26->17->18
650,DATA,46,"[1,254]",18,108.429862,108.430301,0.000438,5,46->57->47->38->27->18
651,DATA,55,"[1,254]",18,108.445126,108.445672,0.000546,7,55->45->46->57->47->38->27->18
3050,DATA,2,"[1,254]",18,108.452457,108.453096,0.000639,8,2->12->22->33->34->35->26->17->18
3051,DATA,72,"[1,254]",18,108.456577,108.457320,0.000743,9,72->73->63->54->43->34->35->26->17->18
3052,DATA,92,"[1,254]",18,108.486320,108.487280,0.000961,11,92->93->83->73->63->54->43->34->35->26->17->18
3053,DATA,90,"[1,254]",18,108.487345,108.488484,0.001139,13,90->81->92->93->83->73->63->54->43->34->35->26->17->18
3054,DATA,23,"[1,254]",18,108.489881,108.490429,0.000548,7,23->14->24->34->35->26->17->18
3055,DATA,94,"[1,254]",18,108.493142,108.494054,0.000912,11,94->93->83->73->63->54->43->34->35->26->17->18
3056,DATA,31,"[1,254]",18,108.494524,108.495102,0.000578,7,31->22->33->34->35->26->17->18
3057,DATA,20,"[1,254]",18,108.509248,108.510027,0.000779,9,20->10->11->22->33->34->35->26->17->18
3058,DATA,60,"[1,254]",18,108.563285,108.564153,0.000867,10,60->50->41->32->22->33->34->35->26->17->18
3059,DATA,20,"[1,254]",18,108.606033,108.606812,0.000779,9,20->10->11->22->33->34->35->26->17->18
3060,DATA,50,"[1,254]",18,108.611511,108.612305,0.000794,9,50->41->32->22->33->34->35->26->17->18
652,DATA,45,"[1,254]",18,108.648271,108.648762,0.000491,6,45->46->57->47->38->27->18
3064,DATA,60,"[1,254]",18,108.689863,108.690730,0.000867,10,60->50->41->32->22->33->34->35->26->17->18
3065,DATA,33,"[1,254]",18,108.697010,108.697402,0.000392,5,33->34->35->26->17->18
3066,DATA,71,"[1,254]",18,108.698521,108.699629,0.001108,13,71->81->92->93->83->73->63->54->43->34->35->26->17->18
3067,DATA,2,"[1,254]",18,108.734035,108.734674,0.000639,8,2->12->22->33->34->35->26->17->18
3068,DATA,62,"[1,254]",18,108.812645,108.813426,0.000781,9,62->73->63->54->43->34->35->26->17->18
3069,DATA,41,"[1,254]",18,108.869911,108.870599,0.000688,8,41->32->22->33->34->35->26->17->18
3070,DATA,80,"[1,254]",18,108.942037,108.943176,0.001140,13,80->81->92->93->83->73->63->54->43->34->35->26->17->18
3071,DATA,50,"[1,254]",18,108.949331,108.950125,0.000794,9,50->41->32->22->33->34->35->26->17->18
3072,DATA,7,"[1,254]",18,108.954490,108.954853,0.000364,5,7->6->16->26->17->18
3073,DATA,70,"[1,254]",18,109.002026,109.002937,0.000911,11,70->60->50->41->32->22->33->34->35->26->17->18
3074,DATA,83,"[1,254]",18,109.060884,109.061619,0.000734,9,83->73->63->54->43->34->35->26->17->18
3075,DATA,21,"[1,254]",18,109.078951,109.079534,0.000584,7,21->22->33->34->35->26->17->18
3076,DATA,30,"[1,254]",18,109.133298,109.134136,0.000839,10,30->20->10->11->22->33->34->35->26->17->18
3077,DATA,42,"[1,254]",18,109.179556,109.180297,0.000741,9,42->41->32->22->33->34->35->26->17->18
3078,DATA,50,"[1,254]",18,109.182107,109.182901,0.000794,9,50->41->32->22->33->34->35->26->17->18
